10000
0,18
0,11
0,17
0,8
0,13
0,3
0,17
0,10
0,7
0,3
0,17
0,13
0,14
0,20
0,8
0,6
0,6
0,8
0,15
0,8
0,12
0,6
0,13
0,14
0,9
0,18
0,3
0,2
0,10
0,10
0,4
0,8
0,12
0,1
0,7
0,17
0,15
0,15
0,6
0,1
0,17
0,14
0,6
0,11
0,5
0,13
0,8
0,10
0,12
0,15
0,9
0,3
0,20
0,1
0,16
0,8
0,10
0,11
0,9
0,12
0,12
0,5
0,11
0,16
0,5
0,17
0,12
0,19
0,12
0,9
0,12
0,20
0,2
0,17
0,2
0,6
0,1
0,10
0,7
0,12
0,4
0,15
0,14
0,15
0,7
0,1
0,2
0,16
0,11
0,2
0,19
0,3
0,6
0,9
0,10
0,10
0,18
0,1
0,1
0,9
0,1
0,12
0,20
0,2
1,20
1,2
1,19
1,20
1,3
1,5
1,11
1,18
1,19
1,4
1,12
1,5
1,4
1,5
1,12
1,7
1,6
1,11
1,1
1,4
1,19
1,10
1,5
1,16
1,10
1,5
1,16
1,2
1,8
1,8
1,3
1,7
1,9
1,13
1,6
1,3
1,17
1,16
1,12
1,7
1,11
1,15
1,11
1,15
1,19
1,2
1,13
1,16
1,12
1,13
1,19
1,3
1,2
1,16
1,10
1,3
1,20
1,6
1,4
1,8
1,5
1,18
1,14
1,5
1,10
1,12
1,7
1,6
1,19
1,10
1,12
1,10
1,4
1,14
1,16
1,14
1,7
1,8
1,9
1,11
1,20
1,20
1,13
1,13
1,7
1,14
1,15
1,6
1,11
1,10
1,5
1,15
1,7
1,19
1,19
1,16
1,2
1,17
1,13
1,20
1,6
1,16
1,9
1,9
1,1
1,16
1,14
1,7
1,15
1,15
1,9
2,14
2,6
2,1
2,18
2,12
2,7
2,12
2,17
2,17
2,1
2,2
2,12
2,19
2,12
2,2
2,6
2,5
2,19
2,10
2,4
2,4
2,5
2,5
2,5
2,17
2,20
2,18
2,16
2,15
2,4
2,4
2,20
2,9
2,17
2,18
2,20
2,3
2,1
2,9
2,11
2,14
2,2
2,2
2,12
2,13
2,16
2,18
2,17
2,14
2,7
2,12
2,9
2,4
2,16
2,13
2,20
2,8
2,3
2,7
2,14
2,6
2,11
2,13
2,15
2,7
2,2
2,6
2,1
2,3
2,14
2,11
2,16
2,15
2,5
2,19
2,7
2,20
2,16
2,15
2,13
2,15
2,7
2,1
2,18
2,14
2,6
2,9
2,1
2,20
2,16
2,14
2,5
2,18
2,19
2,11
2,4
2,20
2,17
2,4
